Województwo i rok;Produkt_Krajowy_Brutto_na_mieszkañca_(z³);Stopa_bezrobocia_rejestrowanego_(%);Przeciêtne_miesiêczne_wynagrodzenie_brutto_(czwarty_kwarta³)_(z³);Liczba_ludnoœci_w_wieku_produkcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_przedprodukcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_poprodukcyjnym_na_1000_ludnoœci;Gêstoœæ_zaludnienia_(osoba/km^2);Przyrost_naturalny_na_1000_ludnoœci;Liczba_urodzeñ_na_1000_ludnoœci;Przeciêtne_trwanie_¿ycia_(lata);Liczba_ma³¿eñstw_na_1000_ludnoœci;Zezwolenia_na_pracê_dla_cudzoziemców_na_1000_ludnoœci;Liczba_studentów_na_10000_ludnoœci;Mieszkania_oddane_do_u¿ytkowania_na_1000_ludnoœci;Saldo_migracji_wewnêtrznych
Podkarpackie_2010;26122;15,4;3069,21;638,59;202,55;158,86;119,2;1,74;10,34;78;6,2;0,18;345;2,3;-1973
Podkarpackie_2011;28544;15,5;3199,88;638,97;198,32;162,71;119,3;1,37;9,93;78;5,8;0,23;333;2,7;-2212
Podkarpackie_2012;29553;16,4;3295,35;638,33;194,52;167,15;119,4;1,25;9,89;78;5,6;0,23;317;3,1;-1947
Podkarpackie_2013;30584;16,3;3426,26;636,63;191,41;171,95;119,3;0,84;9,57;79;5;0,26;295;2,9;-2273
Podkarpackie_2014;31642;14,6;3571,09;634,68;188,26;177,06;119,3;0,75;9,37;79;5,3;0,31;279;3;-1941
Podkarpackie_2015;33176;13,2;3671,54;632,34;185,48;182,18;119,2;0,07;9,2;79;5,1;0,44;264;3,6;-2400
Podkarpackie_2016;34111;11,5;3836,5;628,73;183,68;187,58;119,2;0,54;9,53;79;5,2;0,82;247;3,7;-2047
Podkarpackie_2017;36142;9,6;4028,88;624,21;182,81;192,97;119,3;1,22;10,31;79;5,2;1,75;233;3,8;-2140
Podkarpackie_2018;38872;8,7;4346,97;619,69;181,97;198,34;119,3;0,89;10,12;79;5,1;2,53;220;3,7;-3119
Podkarpackie_2019;41845;7,9;4618,04;614,5;181,62;203,88;119,2;0,27;9,69;79;4,8;4,02;216;4,3;-3462
Podkarpackie_2020;41937;9,1;5033,11;601,98;188,63;209,39;117,5;-2,17;9,32;78;3,8;3,18;219;4,8;-2226
Podkarpackie_2021;48187;9,9;5486,07;598,72;188,66;212,62;116,9;-4,1;8,58;77;4,4;3,55;218;4,7;-2197
Podkarpackie_2022;55125;8,8;6109;595,27;187,49;217,25;116,5;-2,46;8,08;79;4;2,48;214;5,4;-2228
